지역,대학명,전형유형,모집단위,2025 입시결과 경쟁,2025 입시결과 70%,2024 입시결과 경쟁,2024 입시결과 70%
경기,가천대학교,학생부교과,신소재공학과,20.5,1.57,6.0,3.06
경기,가천대학교,학생부교과,의료산업경영학과,13.5,2.6,9.5,2.32
경기,가천대학교,학생부교과,인공지능학과,,,,
경기,가천대학교,학생부교과,전기공학과,16.3,2.18,23.0,1.61
경기,가천대학교,학생부교과,컴퓨터공학과,15.2,2.76,19.7,1.53
경기,가천대학교,학생부교과,패션산업학과,18.0,2.44,13.3,2.78
경기,가천대학교,학생부교과,화공생명배터리공학부,,,,
경기,가천대학교,학생부종합,의예과,49.5,1.9,40.7,2.21
경기,가천대학교,학생부종합,한의예과,32.3,3.47,21.8,2.32
경기,가천대학교,학생부종합,약학과,68.7,2.65,49.5,2.5
경기,가천대학교,학생부종합,경영학과,25.5,3.88,15.0,3.78
경기,가천대학교,학생부종합,회계세무학과,,,,
경기,가천대학교,학생부종합,관광경영학과,60.1,4.29,15.4,4.67
경기,가천대학교,학생부종합,의료산업경영학과,23.0,3.76,7.7,4.23
경기,가천대학교,학생부종합,금융·빅데이터학부,14.8,3.86,6.4,4.14
경기,가천대학교,학생부종합,미디어커뮤니케이션학과,64.6,3.69,34.2,3.56
경기,가천대학교,학생부종합,경제학과,27.1,4.03,11.3,3.96
경기,가천대학교,학생부종합,응용통계학과,13.3,3.71,6.3,3.88
경기,가천대학교,학생부종합,사회복지학과,33.6,4.2,23.5,3.78
경기,가천대학교,학생부종합,유아교육학과,35.9,3.65,26.8,3.59
경기,가천대학교,학생부종합,심리학과,69.0,3.46,22.9,4.17
경기,가천대학교,학생부종합,패션산업학과,55.8,4.24,26.3,4.09
경기,가천대학교,학생부종합,# AI인문대학,,,,
경기,가천대학교,학생부종합,# 법과대학,28.0,3.83,12.2,3.59
경기,가천대학교,학생부종합,도시계획·조경학부,21.3,3.87,13.1,3.67
경기,가천대학교,학생부종합,건축학부,37.0,3.83,15.1,3.75
경기,가천대학교,학생부종합,건축공학과,37.0,3.83,15.1,3.75
경기,가천대학교,학생부종합,화공생명배터리공학부,22.3,3.5,13.7,3.56
경기,가천대학교,학생부종합,기계공학부,26.4,4.16,12.1,4.02
경기,가천대학교,학생부종합,스마트팩토리학과,20.8,4.06,10.6,4.09
경기,가천대학교,학생부종합,건설환경공학과,23.2,3.95,11.5,4.03
경기,가천대학교,학생부종합,신소재공학과,15.5,3.25,11.3,2.95
경기,가천대학교,학생부종합,바이오나노학과,32.0,3.42,15.8,3.49
경기,가천대학교,학생부종합,식품생명공학과,38.7,3.8,18.7,3.49
경기,가천대학교,학생부종합,식품영양학과,32.0,3.89,20.7,3.71
경기,가천대학교,학생부종합,생명과학과,58.7,3.74,34.8,3.65
경기,가천대학교,학생부종합,반도체물리학과,14.1,4.18,7.1,3.97
경기,가천대학교,학생부종합,화학과,29.0,3.86,11.5,3.78
경기,가천대학교,학생부종합,# 반도체대학,14.2,3.69,8.0,3.67
경기,가천대학교,학생부종합,시스템반도체학과,,,10.0,4.06
경기,가천대학교,학생부종합,클라우드공학과,21.7,2.64,,
경기,가천대학교,학생부종합,인공지능학과,18.0,3.71,10.3,3.93
경기,가천대학교,학생부종합,컴퓨터공학과,23.5,3.57,15.0,3.62
경기,가천대학교,학생부종합,스마트보안학과,43.2,3.91,21.0,4.3
경기,가천대학교,학생부종합,전기공학과,16.0,4.24,7.9,3.98
경기,가천대학교,학생부종합,스마트시티학과,28.7,3.93,7.8,4.38
경기,가천대학교,학생부종합,의공학과,15.5,3.33,9.6,3.37
경기,가천대학교,학생부종합,간호학과,26.5,2.82,16.8,2.82
경기,가천대학교,학생부종합,치위생학과,19.3,3.5,10.7,3.52
경기,가천대학교,학생부종합,응급구조학과,66.8,5.1,39.0,4.3
경기,가천대학교,학생부종합,물리치료학과,57.2,2.9,35.1,3.39
경기,가천대학교,학생부종합,방사선학과,38.7,3.78,27.9,3.61
경기,가천대학교,학생부종합,운동재활학과,80.5,4,24.0,4.93
경기,가천대학교,학생부종합,바이오로직스학과,18.7,2.75,,
경기,가천대학교,학생부종합,경영학과,23.8,4.93,11.7,4.82
경기,가천대학교,학생부종합,회계세무학과,,,,
경기,가천대학교,학생부종합,관광경영학과,12.0,4.48,9.0,4.52
경기,가천대학교,학생부종합,의료산업경영학과,10.0,4.95,7.0,3.03
경기,가천대학교,학생부종합,금융·빅데이터학부,5.5,5.12,,
경기,가천대학교,학생부종합,미디어커뮤니케이션학과,26.5,6.43,19.0,3.54
경기,가천대학교,학생부종합,경제학과,10.0,4.63,7.5,3.66
경기,가천대학교,학생부종합,응용통계학과,8.0,4.79,,
경기,가천대학교,학생부종합,사회복지학과,15.0,5.5,,
경기,가천대학교,학생부종합,유아교육학과,12.5,4.73,,
경기,가천대학교,학생부종합,심리학과,15.5,3.53,13.5,3.68
경기,가천대학교,학생부종합,패션산업학과,16.5,5.17,,
경기,가천대학교,학생부종합,# AI인문대학,,,,
경기,가천대학교,학생부종합,# 법과대학,11.3,4.11,8.0,3.55
경기,가천대학교,학생부종합,도시계획·조경학부,7.7,4.52,8.0,1.92
경기,가천대학교,학생부종합,건축학부,13.0,4.28,15.5,4.35
경기,가천대학교,학생부종합,화공생명배터리공학부,6.4,3.89,7.5,3.33
경기,가천대학교,학생부종합,기계공학부,9.5,4.19,,
경기,가천대학교,학생부종합,건설환경공학과,5.5,6.75,,
경기,가천대학교,학생부종합,신소재공학과,6.5,5.12,,
경기,가천대학교,학생부종합,바이오나노학과,6.5,4.61,,
경기,가천대학교,학생부종합,식품생명공학과,10.0,5.14,,
경기,가천대학교,학생부종합,식품영양학과,8.5,5.33,,
경기,가천대학교,학생부종합,생명과학과,10.5,3.16,,
경기,가천대학교,학생부종합,반도체물리학과,4.5,5.62,,
경기,가천대학교,학생부종합,화학과,6.5,4.83,,
경기,가천대학교,학생부종합,# 반도체대학,7.0,5.74,,
경기,가천대학교,학생부종합,인공지능학과,6.3,4.67,,
경기,가천대학교,학생부종합,컴퓨터공학과,9.2,4.46,,
경기,가천대학교,학생부종합,전기공학과,8.3,4.55,6.5,5.16
경기,가천대학교,학생부종합,의공학과,6.5,4.66,,
경기,가천대학교,학생부종합,간호학과,20.8,4.17,,
경기,가천대학교,학생부종합,의예과,,,,
경기,가천대학교,학생부종합,경영학과,13.3,3.93,11.0,3.69
경기,가천대학교,학생부종합,관광경영학과,19.0,3.67,13.0,4.58
경기,가천대학교,학생부종합,금융·빅데이터학부,2.5,5.82,,
경기,가천대학교,학생부종합,미디어커뮤니케이션학과,29.5,4.33,26.5,3.46
경기,가천대학교,학생부종합,경제학과,10.0,4.26,,
경기,가천대학교,학생부종합,응용통계학과,11.0,3.3,5.0,5.7
경기,가천대학교,학생부종합,사회복지학과,15.0,3.98,9.0,3.4
경기,가천대학교,학생부종합,심리학과,11.0,3.64,13.0,3.24
경기,가천대학교,학생부종합,패션산업학과,22.0,4,13.0,4.58
경기,가천대학교,학생부종합,# AI인문대학,,,,
경기,가천대학교,학생부종합,# 법과대학,11.5,4.32,11.0,3.26
경기,가천대학교,학생부종합,도시계획·조경학부,10.5,4.14,11.0,3.82
경기,가천대학교,학생부종합,건축학부,23.5,4.09,11.0,4.58
경기,가천대학교,학생부종합,화공생명배터리공학부,11.3,4.29,9.0,4.01
경기,가천대학교,학생부종합,기계공학부,12.5,4.54,10.5,3.49
경기,가천대학교,학생부종합,건설환경공학과,,,,
경기,가천대학교,학생부종합,신소재공학과,9.0,3.87,5.0,4.04
경기,가천대학교,학생부종합,식품영양학과,9.0,4.09,12.0,3.84
경기,가천대학교,학생부종합,생명과학과,21.0,6.79,11.0,3.93
경기,가천대학교,학생부종합,화학과,9.5,4.85,14.0,4.08
경기,가천대학교,학생부종합,# 반도체대학,8.0,4.02,9.0,4.06
경기,가천대학교,학생부종합,인공지능학과,12.0,3.51,13.0,3.95
경기,가천대학교,학생부종합,컴퓨터공학과,15.5,3.37,21.5,3.97
경기,가천대학교,학생부종합,전기공학과,7.5,4.23,5.0,4.84
경기,가천대학교,학생부종합,스마트시티학과,,,,
경기,가천대학교,학생부종합,의공학과,9.0,3.56,9.0,3.24
경기,가천대학교,학생부종합,간호학과,21.5,2.82,14.7,2.55
경기,가천대학교,학생부종합,치위생학과,15.0,4.92,7.5,3.74
경기,가천대학교,학생부종합,물리치료학과,30.0,6.05,23.5,3.16
경기,가천대학교,학생부종합,방사선학과,15.0,4.67,7.0,2.82
경기,가천대학교,학생부종합,바이오로직스학과,9.5,3.18,,
경기,가천대학교,학생부종합,의예과,,,,
경기,가천대학교,학생부종합,약학과,17.0,4.63,,
경기,가천대학교,학생부종합,반도체·디스플레이학과,,,,
경기,가천대학교,학생부종합,반도체설계학과,,,,
경기,가천대학교,학생부종합,바이오의료기기학과,,,,
경기,가천대학교,학생부종합,게임·영상학과,,,,
경기,가천대학교,학생부종합,미래자동차학과,,,,
경기,가천대학교,실기/실적,회화전공,,,,
경기,가천대학교,실기/실적,조소전공,,,,
경기,가천대학교,실기/실적,시각디자인전공,,,,
경기,가천대학교,실기/실적,산업디자인전공,,,,
경기,가천대학교,실기/실적,성악전공(남),,,,
경기,가천대학교,실기/실적,성악전공(여),,,,
경기,가천대학교,실기/실적,기악전공(관현악),,,,
경기,가천대학교,실기/실적,기악전공(피아노),,,,
경기,가천대학교,실기/실적,작곡전공,,,,
경기,가천대학교,실기/실적,체육전공,,,,
경기,가천대학교,실기/실적,태권도전공,,,,
경기,가천대학교,실기/실적,연기예술학과,,,,
강원,춘천교육대학교,학생부종합,초등교육전공,8.16,,10.78,2.43
강원,춘천교육대학교,학생부종합,초등교육전공,2.97,,3.6,2.57
강원,춘천교육대학교,학생부종합,초등교육전공,3.25,,5.25,
강원,춘천교육대학교,학생부종합,초등교육전공,5.5,,4.5,4.84
강원,춘천교육대학교,학생부종합,초등교육전공,7.63,,6.88,2.5
강원,춘천교육대학교,학생부종합,초등교육전공,3.78,,3.78,7.22
강원,춘천교육대학교,학생부종합,초등교육전공,1.8,,2.0,4.9
강원,상지대학교,학생부교과,한의예과,37.4,1.19,45.6,1.26
강원,상지대학교,학생부교과,간호학과,14.69,3.35,21.27,3.72
강원,상지대학교,학생부교과,물리치료학과,8.6,2.41,8.4,2.7
강원,상지대학교,학생부교과,보건계열,3.28,5.57,2.54,5.93
강원,상지대학교,학생부교과,임상병리학과,10.6,3.73,10.36,3.84
강원,상지대학교,학생부교과,작업치료학과,7.0,4.66,7.77,5.11
강원,상지대학교,학생부교과,경찰법학과,4.67,5.42,4.77,5.98
강원,상지대학교,학생부교과,군사학과,4.18,5.61,3.48,6.42
강원,상지대학교,학생부교과,사회복지학과,4.82,5.79,7.87,5.63
강원,상지대학교,학생부교과,유아교육학과,4.55,5.39,8.64,5.02
강원,상지대학교,학생부교과,문화콘텐츠학과,2.65,6.38,2.39,6.04
강원,상지대학교,학생부교과,미디어영상광고학과,5.71,5.71,6.21,5.63
강원,상지대학교,학생부교과,지역혁신행정학과,,,,
강원,상지대학교,학생부교과,# 자유전공학부,4.16,6.16,1.43,6.92
강원,상지대학교,학생부교과,경영학과,3.34,5.82,3.95,6.2
강원,상지대학교,학생부교과,국제경영학과,1.75,6.39,1.73,7.19
강원,상지대학교,학생부교과,호텔항공관광경영학과,3.21,6.03,3.03,5.67
강원,상지대학교,학생부교과,동물자원학과,5.19,6.26,3.57,5.74
강원,상지대학교,학생부교과,스마트팜생명과학과,1.88,5.85,1.24,5.6
강원,상지대학교,학생부교과,조경산림학과,1.77,5.8,1.97,5.33
강원,상지대학교,학생부교과,건설환경공학과,1.9,7.27,1.19,6.44
강원,상지대학교,학생부교과,소방공학과,4.08,5.9,5.04,5.95
강원,상지대학교,학생부교과,전기전자공학과,2.05,6.33,2.3,6.21
강원,상지대학교,학생부교과,컴퓨터공학과,3.93,5.74,5.36,6.49
강원,상지대학교,학생부교과,소프트웨어학과,,,,
강원,상지대학교,학생부교과,리빙디자인학과,,,,
강원,상지대학교,학생부교과,산업융합디자인학과,,,,
강원,상지대학교,학생부교과,만화애니메이션학과,6.0,5,3.47,5.76
강원,상지대학교,학생부교과,한의예과,22.0,1.04,,
강원,상지대학교,학생부교과,간호학과,5.13,3.5,7.88,3.78
강원,상지대학교,학생부교과,물리치료학과,9.5,2.82,6.8,3.65
강원,상지대학교,학생부교과,보건계열,3.2,6.55,1.64,6.47
강원,상지대학교,학생부교과,임상병리학과,10.0,3.89,9.8,4.85
강원,상지대학교,학생부교과,작업치료학과,9.5,2.95,6.0,5.35
강원,상지대학교,학생부교과,군사학과,4.0,5.42,,
강원,상지대학교,학생부교과,사회복지학과,6.0,5.78,3.75,5.94
강원,상지대학교,학생부교과,유아교육학과,5.67,5,4.67,4.82
강원,상지대학교,학생부교과,문화콘텐츠학과,2.67,5.22,,
강원,상지대학교,학생부교과,지역혁신행정학과,,,,
강원,상지대학교,학생부교과,경영학과,3.0,5.47,,
강원,상지대학교,학생부교과,국제경영학과,,,,
강원,상지대학교,학생부교과,동물자원학과,3.75,,2.2,6.41
강원,상지대학교,학생부교과,스마트팜생명과학과,2.33,4.67,,
강원,상지대학교,학생부교과,조경산림학과,,,,
